time,strain,stress,temperature,type,strain_rate,max_strain,title,youngs,poissons
0.0,7e-05,6.24,950,fatigue,0.001,0.00145,F-12,144000,0.3
0.02,7e-05,7.62,,,,,,,
0.05,0.0001,11.37,,,,,,,
0.08,0.00012,14.92,,,,,,,
0.1,0.00014,17.26,,,,,,,
0.11,0.00015,18.11,,,,,,,
0.14,0.00017,21.69,,,,,,,
0.17,0.0002,25.19,,,,,,,
0.2,0.00022,28.61,,,,,,,
0.2,0.00022,28.83,,,,,,,
0.23,0.00025,32.25,,,,,,,
0.27,0.00027,35.8,,,,,,,
0.3,0.0003,39.36,,,,,,,
0.3,0.0003,39.44,,,,,,,
0.33,0.00032,43.17,,,,,,,
0.36,0.00035,46.33,,,,,,,
0.39,0.00038,50.18,,,,,,,
0.4,0.00038,51.5,,,,,,,
0.42,0.0004,53.85,,,,,,,
0.44,0.00043,57.42,,,,,,,
0.47,0.00045,60.88,,,,,,,
0.49,0.00048,64.57,,,,,,,
0.5,0.00048,65.59,,,,,,,
0.52,0.0005,67.84,,,,,,,
0.54,0.00053,71.62,,,,,,,
0.57,0.00055,75.54,,,,,,,
0.6,0.00058,79.24,,,,,,,
0.6,0.00058,79.57,,,,,,,
0.62,0.0006,82.98,,,,,,,
0.64,0.00063,85.93,,,,,,,
0.67,0.00065,89.47,,,,,,,
0.69,0.00068,92.83,,,,,,,
0.7,0.00068,93.2,,,,,,,
0.72,0.0007,95.98,,,,,,,
0.74,0.00073,98.39,,,,,,,
0.77,0.00076,101.79,,,,,,,
0.8,0.00078,105.3,,,,,,,
0.8,0.00078,105.43,,,,,,,
0.83,0.00081,108.68,,,,,,,
0.85,0.00083,112.27,,,,,,,
0.88,0.00086,115.35,,,,,,,
0.9,0.00087,118.07,,,,,,,
0.9,0.00088,118.81,,,,,,,
0.93,0.00091,122.34,,,,,,,
0.96,0.00093,124.92,,,,,,,
1.0,0.00094,124.85,,,,,,,
1.07,0.00091,118.78,,,,,,,
1.1,0.00089,116.11,,,,,,,
1.11,0.00088,114.97,,,,,,,
1.14,0.00086,111.03,,,,,,,
1.17,0.00083,107.21,,,,,,,
1.19,0.00081,103.44,,,,,,,
1.2,0.0008,103.26,,,,,,,
1.23,0.00078,99.52,,,,,,,
1.25,0.00076,95.85,,,,,,,
1.28,0.00073,92.24,,,,,,,
1.3,0.00071,90.22,,,,,,,
1.3,0.00071,89.5,,,,,,,
1.33,0.00068,86.44,,,,,,,
1.36,0.00065,82.81,,,,,,,
1.39,0.00063,78.84,,,,,,,
1.39,0.00063,78.51,,,,,,,
1.42,0.0006,75.12,,,,,,,
1.45,0.00058,71.68,,,,,,,
1.47,0.00055,67.97,,,,,,,
1.49,0.00053,65.09,,,,,,,
1.5,0.00053,64.33,,,,,,,
1.53,0.0005,60.75,,,,,,,
1.55,0.00048,57.08,,,,,,,
1.58,0.00045,53.67,,,,,,,
1.59,0.00044,52.17,,,,,,,
1.61,0.00043,49.87,,,,,,,
1.64,0.0004,46.29,,,,,,,
1.66,0.00038,42.83,,,,,,,
1.69,0.00035,38.89,,,,,,,
1.69,0.00035,38.79,,,,,,,
1.72,0.00033,35.55,,,,,,,
1.75,0.0003,31.89,,,,,,,
1.77,0.00028,28.26,,,,,,,
1.79,0.00026,25.68,,,,,,,
1.8,0.00025,24.8,,,,,,,
1.83,0.00023,21.28,,,,,,,
1.86,0.0002,17.58,,,,,,,
1.88,0.00018,14.35,,,,,,,
1.89,0.00017,13.09,,,,,,,
1.92,0.00015,10.76,,,,,,,
1.95,0.00013,7.35,,,,,,,
1.98,0.0001,4.26,,,,,,,
1.99,9e-05,3.27,,,,,,,
2.02,8e-05,0.24,,,,,,,
2.04,5e-05,-3.09,,,,,,,
2.07,2e-05,-6.45,,,,,,,
2.09,1e-05,-8.82,,,,,,,
2.1,-0.0,-9.89,,,,,,,
2.13,-3e-05,-13.66,,,,,,,
2.16,-5e-05,-17.12,,,,,,,
2.19,-8e-05,-20.62,,,,,,,
2.19,-8e-05,-21.58,,,,,,,
2.21,-0.0001,-24.03,,,,,,,
2.24,-0.00013,-27.42,,,,,,,
2.26,-0.00015,-30.82,,,,,,,
2.29,-0.00018,-34.65,,,,,,,
2.29,-0.00018,-35.35,,,,,,,
2.31,-0.0002,-38.0,,,,,,,
2.33,-0.00023,-41.41,,,,,,,
2.35,-0.00025,-44.95,,,,,,,
2.37,-0.00028,-48.19,,,,,,,
2.39,-0.0003,-51.07,,,,,,,
2.39,-0.0003,-51.64,,,,,,,
2.42,-0.00033,-54.93,,,,,,,
2.44,-0.00035,-58.45,,,,,,,
2.47,-0.00038,-62.0,,,,,,,
2.49,-0.0004,-65.23,,,,,,,
2.49,-0.0004,-65.27,,,,,,,
2.52,-0.00043,-68.57,,,,,,,
2.54,-0.00045,-72.08,,,,,,,
2.57,-0.00048,-75.5,,,,,,,
2.59,-0.0005,-78.05,,,,,,,
2.6,-0.0005,-78.74,,,,,,,
2.62,-0.00053,-81.93,,,,,,,
2.65,-0.00056,-84.99,,,,,,,
2.67,-0.00058,-88.01,,,,,,,
2.69,-0.0006,-90.04,,,,,,,
2.69,-0.00061,-90.48,,,,,,,
2.72,-0.00063,-93.57,,,,,,,
2.75,-0.00066,-97.02,,,,,,,
2.77,-0.00068,-100.6,,,,,,,
2.79,-0.00069,-102.6,,,,,,,
2.8,-0.00071,-103.7,,,,,,,
2.83,-0.00073,-107.5,,,,,,,
2.86,-0.00076,-110.8,,,,,,,
2.89,-0.00078,-114.2,,,,,,,
2.89,-0.00078,-114.6,,,,,,,
2.91,-0.00081,-117.5,,,,,,,
2.94,-0.00083,-120.8,,,,,,,
2.96,-0.00086,-123.4,,,,,,,
2.99,-0.00086,-123.5,,,,,,,
3.07,-0.00083,-117.3,,,,,,,
3.09,-0.00082,-115.8,,,,,,,
3.11,-0.00081,-113.4,,,,,,,
3.14,-0.00078,-109.1,,,,,,,
3.16,-0.00076,-105.5,,,,,,,
3.19,-0.00074,-102.6,,,,,,,
3.2,-0.00073,-101.6,,,,,,,
3.22,-0.00071,-97.51,,,,,,,
3.25,-0.00068,-94.0,,,,,,,
3.27,-0.00066,-90.33,,,,,,,
3.29,-0.00064,-88.62,,,,,,,
3.3,-0.00063,-86.84,,,,,,,
3.33,-0.00061,-83.18,,,,,,,
3.35,-0.00058,-80.32,,,,,,,
3.38,-0.00056,-77.59,,,,,,,
3.39,-0.00055,-76.41,,,,,,,
3.41,-0.00053,-73.92,,,,,,,
3.44,-0.0005,-70.34,,,,,,,
3.47,-0.00048,-66.72,,,,,,,
3.49,-0.00046,-64.3,,,,,,,
3.5,-0.00045,-62.86,,,,,,,
3.52,-0.00043,-59.09,,,,,,,
3.55,-0.0004,-55.64,,,,,,,
3.58,-0.00038,-52.03,,,,,,,
3.59,-0.00037,-50.77,,,,,,,
3.61,-0.00035,-48.04,,,,,,,
3.63,-0.00033,-44.36,,,,,,,
3.66,-0.0003,-40.69,,,,,,,
3.69,-0.00028,-37.18,,,,,,,
3.69,-0.00028,-37.09,,,,,,,
3.71,-0.00025,-33.54,,,,,,,
3.74,-0.00023,-30.08,,,,,,,
3.77,-0.0002,-26.37,,,,,,,
3.79,-0.00018,-23.97,,,,,,,
3.8,-0.00018,-22.65,,,,,,,
3.82,-0.00015,-19.03,,,,,,,
3.85,-0.00013,-15.54,,,,,,,
3.87,-0.0001,-12.16,,,,,,,
3.88,-9e-05,-10.41,,,,,,,
3.9,-8e-05,-8.32,,,,,,,
3.93,-5e-05,-4.77,,,,,,,
3.96,-2e-05,-1.44,,,,,,,
3.98,-0.0,1.82,,,,,,,
3.99,0.0,2.18,,,,,,,
4.02,3e-05,5.94,,,,,,,
4.05,5e-05,9.54,,,,,,,
4.07,8e-05,12.56,,,,,,,
4.08,8e-05,13.97,,,,,,,
4.11,0.0001,16.29,,,,,,,
4.14,0.00013,19.47,,,,,,,
4.17,0.00015,22.95,,,,,,,
4.18,0.00016,24.4,,,,,,,
4.2,0.00018,26.59,,,,,,,
4.23,0.0002,30.0,,,,,,,
4.26,0.00023,33.51,,,,,,,
4.28,0.00025,36.16,,,,,,,
4.29,0.00025,36.79,,,,,,,
4.32,0.00028,40.5,,,,,,,
4.35,0.0003,44.0,,,,,,,
4.37,0.00033,47.48,,,,,,,
4.38,0.00034,48.69,,,,,,,
4.4,0.00035,51.26,,,,,,,
4.43,0.00038,54.8,,,,,,,
4.45,0.0004,58.15,,,,,,,
4.48,0.00043,61.8,,,,,,,
4.48,0.00043,62.4,,,,,,,
4.5,0.00045,64.92,,,,,,,
4.52,0.00048,68.62,,,,,,,
4.54,0.00051,71.8,,,,,,,
4.57,0.00053,75.26,,,,,,,
4.58,0.00055,77.89,,,,,,,
4.59,0.00056,78.64,,,,,,,
4.61,0.00058,82.01,,,,,,,
4.64,0.00061,85.44,,,,,,,
4.66,0.00063,88.95,,,,,,,
4.68,0.00065,91.48,,,,,,,
4.69,0.00066,92.19,,,,,,,
4.71,0.00068,95.65,,,,,,,
4.73,0.00071,98.04,,,,,,,
4.76,0.00073,100.56,,,,,,,
4.78,0.00075,103.35,,,,,,,
4.79,0.00076,104.1,,,,,,,
4.82,0.00078,107.79,,,,,,,
4.84,0.00081,110.73,,,,,,,
4.87,0.00083,114.3,,,,,,,
4.88,0.00084,115.64,,,,,,,
4.9,0.00086,117.59,,,,,,,
4.92,0.00088,120.62,,,,,,,
4.95,0.00091,123.81,,,,,,,
4.97,0.00094,126.62,,,,,,,
4.98,0.00094,127.65,,,,,,,
5.0,0.00096,129.54,,,,,,,
5.02,0.00099,132.57,,,,,,,
5.05,0.00101,135.48,,,,,,,
5.08,0.00103,137.17,,,,,,,
5.09,0.00104,137.0,,,,,,,
5.17,0.00101,131.04,,,,,,,
5.18,0.00101,129.92,,,,,,,
5.2,0.00099,126.59,,,,,,,
5.23,0.00096,122.5,,,,,,,
5.26,0.00094,118.5,,,,,,,
5.28,0.00092,116.08,,,,,,,
5.29,0.00091,114.53,,,,,,,
5.32,0.00088,110.69,,,,,,,
5.34,0.00086,107.24,,,,,,,
5.38,0.00083,102.98,,,,,,,
5.38,0.00083,102.77,,,,,,,
5.41,0.00081,98.86,,,,,,,
5.43,0.00078,95.09,,,,,,,
5.46,0.00076,91.54,,,,,,,
5.48,0.00074,89.07,,,,,,,
5.49,0.00073,87.66,,,,,,,
5.51,0.00071,84.87,,,,,,,
5.53,0.00068,81.76,,,,,,,
5.56,0.00066,78.11,,,,,,,
5.58,0.00065,76.15,,,,,,,
5.59,0.00063,74.3,,,,,,,
5.62,0.00061,70.62,,,,,,,
5.65,0.00058,67.16,,,,,,,
5.68,0.00056,63.46,,,,,,,
5.71,0.00053,59.92,,,,,,,
5.73,0.00051,56.47,,,,,,,
5.76,0.00048,53.1,,,,,,,
5.78,0.00046,50.65,,,,,,,
5.79,0.00046,49.69,,,,,,,
5.81,0.00043,46.22,,,,,,,
5.84,0.00041,42.79,,,,,,,
5.87,0.00038,39.18,,,,,,,
5.88,0.00037,37.91,,,,,,,
5.89,0.00035,35.31,,,,,,,
5.92,0.00033,31.38,,,,,,,
5.95,0.0003,27.97,,,,,,,
5.98,0.00028,24.32,,,,,,,
5.98,0.00028,24.16,,,,,,,
6.0,0.00025,20.78,,,,,,,
6.03,0.00023,17.19,,,,,,,
6.06,0.0002,13.81,,,,,,,
6.08,0.00019,12.08,,,,,,,
6.1,0.00018,10.24,,,,,,,
6.13,0.00015,6.86,,,,,,,
6.16,0.00013,3.27,,,,,,,
6.18,0.00012,1.97,,,,,,,
6.2,0.0001,-0.37,,,,,,,
6.22,8e-05,-3.75,,,,,,,
6.25,5e-05,-6.84,,,,,,,
6.28,3e-05,-10.25,,,,,,,
6.28,3e-05,-10.73,,,,,,,
6.31,0.0,-14.19,,,,,,,
6.33,-2e-05,-17.39,,,,,,,
6.36,-5e-05,-20.9,,,,,,,
6.38,-7e-05,-23.19,,,,,,,
6.38,-7e-05,-24.18,,,,,,,
6.41,-0.0001,-27.7,,,,,,,
6.44,-0.00012,-31.38,,,,,,,
6.46,-0.00015,-34.86,,,,,,,
6.47,-0.00017,-37.47,,,,,,,
6.48,-0.00018,-38.24,,,,,,,
6.5,-0.0002,-42.28,,,,,,,
6.52,-0.00023,-45.27,,,,,,,
6.55,-0.00025,-49.17,,,,,,,
6.57,-0.00028,-52.71,,,,,,,
6.6,-0.0003,-56.03,,,,,,,
6.62,-0.00033,-59.65,,,,,,,
6.65,-0.00035,-63.02,,,,,,,
6.67,-0.00038,-66.62,,,,,,,
6.67,-0.00038,-66.85,,,,,,,
6.7,-0.0004,-70.06,,,,,,,
6.72,-0.00043,-73.53,,,,,,,
6.74,-0.00045,-76.6,,,,,,,
6.77,-0.00048,-80.13,,,,,,,
6.77,-0.00048,-80.46,,,,,,,
6.8,-0.0005,-83.17,,,,,,,
6.82,-0.00053,-86.31,,,,,,,
6.84,-0.00055,-89.53,,,,,,,
6.86,-0.00058,-91.92,,,,,,,
6.87,-0.00059,-92.92,,,,,,,
6.89,-0.00061,-94.45,,,,,,,
6.92,-0.00063,-97.56,,,,,,,
6.94,-0.00066,-100.5,,,,,,,
6.97,-0.00068,-103.4,,,,,,,
6.97,-0.00068,-103.5,,,,,,,
7.0,-0.00071,-106.7,,,,,,,
7.03,-0.00073,-109.8,,,,,,,
7.06,-0.00076,-113.3,,,,,,,
7.07,-0.00077,-115.1,,,,,,,
7.08,-0.00078,-116.4,,,,,,,
7.11,-0.00081,-119.3,,,,,,,
7.13,-0.00083,-122.4,,,,,,,
7.16,-0.00086,-125.5,,,,,,,
7.17,-0.00087,-127.1,,,,,,,
7.18,-0.00088,-128.5,,,,,,,
7.22,-0.00091,-131.7,,,,,,,
7.24,-0.00093,-135.1,,,,,,,
7.27,-0.00096,-137.8,,,,,,,
7.27,-0.00096,-137.9,,,,,,,
7.37,-0.00094,-133.2,,,,,,,
7.38,-0.00093,-131.6,,,,,,,
7.42,-0.00091,-127.4,,,,,,,
7.44,-0.00088,-123.7,,,,,,,
7.47,-0.00086,-120.4,,,,,,,
7.47,-0.00086,-119.6,,,,,,,
7.5,-0.00083,-116.3,,,,,,,
7.53,-0.00081,-112.2,,,,,,,
7.56,-0.00078,-108.6,,,,,,,
7.57,-0.00077,-106.8,,,,,,,
7.58,-0.00076,-105.0,,,,,,,
7.62,-0.00073,-101.1,,,,,,,
7.64,-0.00071,-97.24,,,,,,,
7.67,-0.00068,-94.01,,,,,,,
7.67,-0.00068,-93.9,,,,,,,
7.7,-0.00066,-90.22,,,,,,,
7.73,-0.00063,-86.42,,,,,,,
7.75,-0.00061,-83.08,,,,,,,
7.77,-0.00059,-80.85,,,,,,,
7.77,-0.00058,-80.46,,,,,,,
7.8,-0.00056,-77.54,,,,,,,
7.83,-0.00053,-73.47,,,,,,,
7.85,-0.00051,-70.08,,,,,,,
7.87,-0.00049,-68.09,,,,,,,
7.88,-0.00048,-66.58,,,,,,,
7.91,-0.00045,-62.88,,,,,,,
7.94,-0.00043,-59.1,,,,,,,
7.97,-0.0004,-55.47,,,,,,,
7.97,-0.0004,-55.36,,,,,,,
8.0,-0.00038,-52.02,,,,,,,
8.02,-0.00035,-48.1,,,,,,,
8.05,-0.00033,-44.61,,,,,,,
8.07,-0.00031,-42.41,,,,,,,
8.08,-0.0003,-40.91,,,,,,,
8.11,-0.00028,-37.38,,,,,,,
8.14,-0.00025,-33.65,,,,,,,
8.16,-0.00023,-29.96,,,,,,,
8.17,-0.00022,-29.29,,,,,,,
8.19,-0.0002,-26.48,,,,,,,
8.22,-0.00018,-22.91,,,,,,,
8.25,-0.00015,-19.23,,,,,,,
8.27,-0.00013,-16.39,,,,,,,
8.27,-0.00013,-15.87,,,,,,,
8.3,-0.0001,-12.24,,,,,,,
8.33,-8e-05,-8.57,,,,,,,
18.38,-5e-05,7.02,,,,,,,
18.41,-3e-05,10.18,,,,,,,
18.43,-1e-05,12.06,,,,,,,
18.44,-0.0,13.63,,,,,,,
18.48,2e-05,17.01,,,,,,,
18.51,5e-05,20.31,,,,,,,
18.53,6e-05,21.85,,,,,,,
18.54,7e-05,23.41,,,,,,,
18.57,0.0001,26.67,,,,,,,
18.6,0.00012,29.75,,,,,,,
18.63,0.00015,33.23,,,,,,,
18.63,0.00015,33.31,,,,,,,
18.66,0.00017,36.29,,,,,,,
18.69,0.0002,39.77,,,,,,,
18.71,0.00022,42.99,,,,,,,
