time,strain,stress,temperature,type,title,medium,strain_rate,youngs,poissons
0.009055556,0.000307983,85.17622875,,,,,,,
0.009111111,0.000309952,85.6965577,,,,,,,
0.009166667,0.000311961,86.1968859,,,,,,,
0.00925,0.00031495,86.7873294,,,,,,,
0.009305556,0.000317979,87.2877513,,,,,,,
0.009361111,0.000319949,87.8080896,,,,,,,
0.009416667,0.000321958,88.32843348,,,,,,,
0.0095,0.000324947,88.81885675,,,,,,,
0.009555556,0.000326957,89.38922161,,,,,,,
0.009611111,0.000329946,89.9096604,,,,,,,
0.009666667,0.000332975,90.45011257,,,,,,,
0.00975,0.000334944,90.94045485,,,,,,,
0.009805556,0.000336953,91.44080608,,,,,,,
0.009861111,0.000339942,91.9612562,,,,,,,
0.009916667,0.000341952,92.4716154,,,,,,,
0.009972222,0.00034596,93.00216948,,,,,,,
0.010055556,0.000347969,93.51253384,,,,,,,
0.010111111,0.000349939,94.0329,,,,,,,
0.010166667,0.000352968,94.5533684,,,,,,,
0.010222222,0.000355957,95.09384326,,,,,,,
0.010305556,0.000357966,95.65423483,,,,,,,
0.010361111,0.000360955,96.05466514,,,,,,,
0.010416667,0.000363954,96.58514613,,,,,,,
0.010472222,0.000366943,97.14564034,,,,,,,
0.010527778,0.000367962,97.64592341,,,,,,,
0.010611111,0.000371941,98.18651278,,,,,,,
0.010666667,0.00037395,98.67689333,,,,,,,
0.010722222,0.000376939,99.22739562,,,,,,,
0.010777778,0.000379968,99.74789379,,,,,,,
0.010833333,0.000381937,100.2382774,,,,,,,
0.010916667,0.000384966,100.838812,,,,,,,
0.010972222,0.000386935,101.3392041,,,,,,,
0.011027778,0.000389964,101.9397451,,,,,,,
0.011083333,0.000391933,102.4401418,,,,,,,
0.011166667,0.000395982,102.9407546,,,,,,,
0.011222222,0.00039913,103.4412783,,,,,,,
0.011277778,0.0004011,104.0417227,,,,,,,
0.011333333,0.000403858,104.5422117,,,,,,,
0.011416667,0.000407007,105.1427852,,,,,,,
0.011472222,0.000408976,105.6431967,,,,,,,
0.011527778,0.000412905,106.1438182,,,,,,,
0.011583333,0.000414874,106.7442762,,,,,,,
0.011638889,0.000418023,107.2448214,,,,,,,
0.011722222,0.000419992,107.7452426,,,,,,,
0.011777778,0.000422741,108.3457925,,,,,,,
0.011833333,0.000427079,108.8464761,,,,,,,
0.011888889,0.000429038,109.3469039,,,,,,,
0.011972222,0.000431797,109.9474647,,,,,,,
0.012027778,0.000434945,110.4480284,,,,,,,
0.012083333,0.000438094,110.9485953,,,,,,,
0.012138889,0.000440063,111.5490778,,,,,,,
0.012194444,0.000443991,112.0497381,,,,,,,
0.012277778,0.000445961,112.5501818,,,,,,,
0.012333333,0.000449109,113.0507607,,,,,,,
0.012388889,0.000451868,113.6513438,,,,,,,
0.012444444,0.000455016,114.1519292,,,,,,,
0.012527778,0.000457765,114.7525177,,,,,,,
0.012583333,0.000460914,115.2531095,,,,,,,
0.012638889,0.000464062,115.8537509,,,,,,,
0.012694444,0.000466821,116.354304,,,,,,,
0.01275,0.00046997,116.8549053,,,,,,,
0.012833333,0.000471939,117.4554187,,,,,,,
0.012888889,0.000475087,117.9560261,,,,,,,
0.012944444,0.000479015,118.5567769,,,,,,,
0.013,0.000481774,119.0573449,,,,,,,
0.013083333,0.000484922,119.6580108,,,,,,,
0.013138889,0.000486891,120.1584899,,,,,,,
0.013194444,0.00049004,120.6591133,,,,,,,
0.01325,0.000492789,121.2597407,,,,,,,
0.013305556,0.000495937,121.7603705,,,,,,,
0.013388889,0.000499875,122.36115,,,,,,,
0.013444444,0.000503023,122.8617868,,,,,,,
0.0135,0.000504992,123.3622813,,,,,,,
0.013555556,0.000507741,123.9629251,,,,,,,
0.013638889,0.000510889,124.563622,,,,,,,
0.013694444,0.000514038,125.0642713,,,,,,,
0.01375,0.000517976,125.5650228,,,,,,,
0.013805556,0.000520734,126.1656817,,,,,,,
0.013861111,0.000522693,126.566138,,,,,,,
0.013944444,0.000527031,127.1670033,,,,,,,
0.014,0.000530959,127.7678215,,,,,,,
0.014055556,0.000533718,128.2684409,,,,,,,
0.014111111,0.000536076,128.8690651,,,,,,,
0.014194444,0.000540014,129.3698427,,,,,,,
0.01425,0.000542763,129.970524,,,,,,,
0.014305556,0.000545911,130.4712062,,,,,,,
0.014361111,0.000549059,130.9718916,,,,,,,
0.014416667,0.000551818,131.5725841,,,,,,,
0.0145,0.000555756,132.0733801,,,,,,,
0.014555556,0.000558904,132.5740755,,,,,,,
0.014611111,0.000562042,133.1748288,,,,,,,
0.014666667,0.0005648,133.6754787,,,,,,,
0.01475,0.000568738,134.2763464,,,,,,,
0.014805556,0.000571886,134.7770551,,,,,,,
0.014861111,0.000575035,135.277767,,,,,,,
0.014916667,0.000578962,135.8786459,,,,,,,
0.014972222,0.000581721,136.3793116,,,,,,,
0.015055556,0.000584869,136.980092,,,,,,,
0.015111111,0.000588017,137.4808173,,,,,,,
0.015166667,0.000591955,138.0817139,,,,,,,
0.015222222,0.000593914,138.5822815,,,,,,,
0.015305556,0.000597851,139.183186,,,,,,,
0.015361111,0.000601789,139.684035,,,,,,,
0.015416667,0.000604937,140.2848378,,,,,,,
0.015472222,0.000607685,140.7855273,,,,,,,
0.015527778,0.000612013,141.2864426,,,,,,,
0.015611111,0.000614771,141.8872013,,,,,,,
0.015666667,0.000617919,142.3879571,,,,,,,
0.015722222,0.000620677,142.8886602,,,,,,,
0.015777778,0.000625005,143.4896537,,,,,,,
0.015861111,0.000628932,144.0905947,,,,,,,
0.015916667,0.00063287,144.5914786,,,,,,,
0.015972222,0.000634838,145.0920808,,,,,,,
0.016027778,0.000638776,145.6930355,,,,,,,
0.016083333,0.000642703,146.1939292,,,,,,,
0.016166667,0.000646641,146.6948282,,,,,,,
0.016222222,0.000649789,147.29568,,,,,,,
0.016277778,0.000652937,147.6964049,,,,,,,
0.016333333,0.000656874,148.2973807,,,,,,,
0.016388889,0.000660802,148.8983598,,,,,,,
0.016472222,0.000664739,149.499345,,,,,,,
0.016527778,0.000668676,150.0002681,,,,,,,
0.016583333,0.000670645,150.5008988,,,,,,,
0.016638889,0.000675752,151.102073,,,,,,,
0.016722222,0.000678899,151.6028882,,,,,,,
0.016777778,0.000681658,152.2037155,,,,,,,
0.016833333,0.000686774,152.7048377,,,,,,,
0.016888889,0.000689922,153.3057325,,,,,,,
0.016972222,0.00069267,153.8065003,,,,,,,
0.017027778,0.000697786,154.3076362,,,,,,,
0.017083333,0.000700934,154.9085427,,,,,,,
0.017138889,0.000704872,155.4095051,,,,,,,
0.017194444,0.000708809,155.9104715,,,,,,,
0.017277778,0.000711947,156.5113881,,,,,,,
0.017333333,0.000714705,157.0121772,,,,,,,
0.017388889,0.000719821,157.5133406,,,,,,,
0.017444444,0.000722969,158.014198,,,,,,,
0.017527778,0.000727685,158.6153801,,,,,,,
0.017583333,0.000731622,159.2164437,,,,,,,
0.017638889,0.00073477,159.7173124,,,,,,,
0.017694444,0.000740666,160.3186986,,,,,,,
0.01775,0.000743813,160.8195753,,,,,,,
0.017833333,0.00074775,161.4206572,,,,,,,
0.017888889,0.000751687,161.9216687,,,,,,,
0.017944444,0.000755624,162.4226842,,,,,,,
0.018,0.000759951,163.0238431,,,,,,,
0.018083333,0.000762699,163.6247489,,,,,,,
0.018138889,0.000768605,164.1260996,,,,,,,
0.018194444,0.000772931,164.7272737,,,,,,,
0.01825,0.000775679,165.2281143,,,,,,,
0.018305556,0.000780795,165.7293502,,,,,,,
0.018388889,0.000784732,166.3304736,,,,,,,
0.018444444,0.000789848,166.8317197,,,,,,,
0.0185,0.000793775,167.3327718,,,,,,,
0.018555556,0.000798891,167.9341074,,,,,,,
0.018638889,0.000801649,168.4349716,,,,,,,
0.018694444,0.000805585,169.0361182,,,,,,,
0.01875,0.000810691,169.5373868,,,,,,,
0.018805556,0.000814628,170.0384617,,,,,,,
0.018861111,0.000818565,170.6396225,,,,,,,
0.018944444,0.000823681,171.1409074,,,,,,,
0.019,0.000827607,171.7420762,,,,,,,
0.019055556,0.000831544,172.2431683,,,,,,,
0.019111111,0.00083666,172.7444679,,,,,,,
0.019194444,0.000841776,173.3458569,,,,,,,
0.01925,0.000846492,173.8470978,,,,,,,
0.019305556,0.000850818,174.4483607,,,,,,,
0.019361111,0.000854755,174.949475,,,,,,,
0.019416667,0.000858691,175.4505932,,,,,,,
0.0195,0.000863797,176.0520075,,,,,,,
0.019555556,0.000868523,176.553274,,,,,,,
0.019611111,0.000872849,177.0544744,,,,,,,
0.019666667,0.000877565,177.5557483,,,,,,,
0.01975,0.00088347,178.3575039,,,,,,,
0.019805556,0.000887796,178.7586307,,,,,,,
0.019861111,0.000892512,179.3600095,,,,,,,
0.019944444,0.000897627,179.9614658,,,,,,,
0.02,0.000902742,180.4628379,,,,,,,
0.020055556,0.000907458,180.9641429,,,,,,,
0.020111111,0.000911784,181.5654731,,,,,,,
0.020194444,0.00091651,182.0667896,,,,,,,
0.02025,0.000921625,182.6682741,,,,,,,
0.020305556,0.00092674,183.1696721,,,,,,,
0.020361111,0.000932635,183.6712183,,,,,,,
0.020444444,0.00093775,184.2727208,,,,,,,
0.0205,0.000941686,184.8740114,,,,,,,
0.020555556,0.000947581,185.3755752,,,,,,,
0.020611111,0.000952696,185.877,,,,,,,
0.020666667,0.000956632,186.3782102,,,,,,,
0.02075,0.000962527,186.9798865,,,,,,,
0.020805556,0.000966463,187.481106,,,,,,,
0.020861111,0.000972757,188.0828699,,,,,,,
0.020916667,0.000977472,188.5842458,,,,,,,
0.020972222,0.000982587,189.0857019,,,,,,,
0.021055556,0.000987702,189.687262,,,,,,,
0.021111111,0.000993596,190.1888771,,,,,,,
0.021166667,0.000998711,190.7904494,,,,,,,
0.021222222,0.001003396,191.2918453,,,,,,,
0.021305556,0.001008591,191.7933436,,,,,,,
0.021361111,0.001013686,192.3949292,,,,,,,
0.021416667,0.001018381,192.6961383,,,,,,,
0.021472222,0.001024675,193.2979661,,,,,,,
0.021527778,0.00102937,193.7993886,,,,,,,
0.021611111,0.001035664,194.40123,,,,,,,
0.021666667,0.001040359,194.9026632,,,,,,,
0.021722222,0.001046652,195.5045182,,,,,,,
0.021777778,0.001051447,195.9058764,,,,,,,
0.021861111,0.001057341,196.5076658,,,,,,,
0.021916667,0.001062435,197.0091984,,,,,,,
0.021972222,0.00106753,197.6108429,,,,,,,
0.022027778,0.001073424,198.1125446,,,,,,,
0.022111111,0.001080516,198.7145984,,,,,,,
0.022166667,0.001085611,199.2161538,,,,,,,
0.022222222,0.001090305,199.7176345,,,,,,,
0.022277778,0.001096599,200.3195497,,,,,,,
0.022333333,0.001101393,200.720951,,,,,,,
0.022416667,0.001107287,201.3227987,,,,,,,
0.022472222,0.00111358,201.8246227,,,,,,,
0.022527778,0.001118274,202.4262416,,,,,,,
0.022583333,0.001124567,202.928078,,,,,,,
0.022666667,0.001130461,203.5299526,,,,,,,
0.022722222,0.001136354,204.0317206,,,,,,,
0.022777778,0.001142247,204.5334945,,,,,,,
0.022833333,0.00114854,205.1354711,,,,,,,
0.022888889,0.001153235,205.6370111,,,,,,,
0.022972222,0.001160327,206.239166,,,,,,,
0.023027778,0.001165421,206.640683,,,,,,,
0.023083333,0.001171314,207.242604,,,,,,,
0.023138889,0.001176508,207.744269,,,,,,,
0.023222222,0.001183599,208.3464528,,,,,,,
0.023277778,0.001189492,208.8482757,,,,,,,
0.023333333,0.001195385,209.4502241,,,,,,,
0.023388889,0.001200479,209.9518916,,,,,,,
0.023444444,0.001206372,210.4537324,,,,,,,
0.0235,0.001213463,210.9558319,,,,,,,
0.023583333,0.001218158,211.4574317,,,,,,,
0.023666667,0.001227247,212.260336,,,,,,,
0.023722222,0.001234238,212.862561,,,,,,,
0.023777778,0.001239432,213.3642866,,,,,,,
0.023861111,0.001246423,213.8664019,,,,,,,
0.023916667,0.001253115,214.4685854,,,,,,,
0.023972222,0.001259407,214.9705649,,,,,,,
0.024055556,0.001265299,215.5725913,,,,,,,
0.024111111,0.00127239,216.0747566,,,,,,,
0.024166667,0.001278283,216.5766693,,,,,,,
0.024222222,0.001284175,217.078588,,,,,,,
0.024277778,0.001291266,217.6809025,,,,,,,
0.024361111,0.001297158,218.1828342,,,,,,,
0.024416667,0.001302252,218.684597,,,,,,,
0.024472222,0.001309342,219.1868028,,,,,,,
0.024527778,0.001315235,219.6887523,,,,,,,
0.024583333,0.001321127,220.1907078,,,,,,,
0.024666667,0.001329016,220.793243,,,,,,,
0.024722222,0.001335308,221.2953002,,,,,,,
0.024777778,0.0013412,221.8974094,,,,,,,
0.024833333,0.001347092,222.3993908,,,,,,,
0.024916667,0.001354183,222.9016453,,,,,,,
0.024972222,0.001361273,223.4039068,,,,,,,
0.025027778,0.001367165,223.9059072,,,,,,,
0.025083333,0.001373057,224.4079134,,,,,,,
0.025166667,0.001380147,225.0103332,,,,,,,
0.025222222,0.001386039,225.5123524,,,,,,,
0.025277778,0.001393928,226.0148289,,,,,,,
0.025333333,0.001400219,226.6170916,,,,,,,
0.025388889,0.001408108,227.1195839,,,,,,,
0.025472222,0.001414,227.6216295,,,,,,,
0.025527778,0.001420291,228.1237721,,,,,,,
0.025583333,0.001426981,228.6260124,,,,,,,
0.025638889,0.001433272,229.2283113,,,,,,,
0.025722222,0.00144186,229.7310013,,,,,,,
0.025777778,0.001448151,230.2331711,,,,,,,
0.025833333,0.001454042,230.8354006,,,,,,,
0.025888889,0.001461132,231.3377682,,,,,,,
0.025944444,0.001467822,231.8400504,,,,,,,
0.026027778,0.001474113,232.3422464,,,,,,,
0.026083333,0.001480803,232.8445418,,,,,,,
0.026138889,0.001487893,233.346937,,,,,,,
0.026194444,0.001494982,233.8493394,,,,,,,
0.026277778,0.00150277,234.452063,,,,,,,
0.026333333,0.00150986,234.9544806,,,,,,,
0.026388889,0.001516949,235.4569053,,,,,,,
0.026444444,0.001524038,235.9593371,,,,,,,
0.0265,0.001529929,236.4614927,,,,,,,
0.026583333,0.001537817,236.9641274,,,,,,,
0.026638889,0.001544906,237.4665803,,,,,,,
0.026694444,0.001550797,237.9687552,,,,,,,
0.02675,0.001557886,238.4712217,,,,,,,
0.026833333,0.001565674,239.074019,,,,,,,
0.026888889,0.001572763,239.4763434,,,,,,,
0.026944444,0.00158065,240.0791814,,,,,,,
0.027,0.001587739,240.4815189,,,,,,,
0.027055556,0.001594828,241.0841813,,,,,,,
0.027138889,0.001601816,241.4865074,,,,,,,
0.027194444,0.001608905,241.9890243,,,,,,,
0.02725,0.001614796,242.4912578,,,,,,,
0.027305556,0.001621884,242.9937883,,,,,,,
0.027388889,0.001629771,243.5966835,,,,,,,
0.027444444,0.00163686,243.9990655,,,,,,,
0.0275,0.00164275,244.5013248,,,,,,,
0.027555556,0.001651735,245.1045136,,,,,,,
0.027611111,0.001659622,245.6072772,,,,,,,
0.027694444,0.001665512,246.0093906,,,,,,,
0.02775,0.001673798,246.6124342,,,,,,,
0.027805556,0.001681685,247.1152208,,,,,,,
0.027861111,0.001688773,247.6178174,,,,,,,
0.027944444,0.001697758,248.1208918,,,,,,,
0.028,0.001704447,248.723575,,,,,,,
0.028055556,0.001712732,249.1263215,,,,,,,
0.028111111,0.001720519,249.6291224,,,,,,,
0.028166667,0.001728405,250.131956,,,,,,,
0.02825,0.00173749,250.6350978,,,,,,,
0.028305556,0.001743779,251.1375467,,,,,,,
0.028361111,0.001752364,251.6405797,,,,,,,
0.028416667,0.001760649,252.1435457,,,,,,,
0.0285,0.001768535,252.6464192,,,,,,,
0.028555556,0.001777519,253.1495786,,,,,,,
0.028611111,0.001784607,253.6522658,,,,,,,
0.028666667,0.00179369,254.1554676,,,,,,,
0.028722222,0.001801476,254.658348,,,,,,,
0.028805556,0.001809362,255.1612617,,,,,,,
0.028861111,0.001818446,255.6644895,,,,,,,
0.028916667,0.001826331,256.1674196,,,,,,,
0.028972222,0.001834516,256.5702508,,,,,,,
0.029055556,0.001844398,257.1738939,,,,,,,
0.029111111,0.001853381,257.5769462,,,,,,,
0.029166667,0.001861267,258.0799088,,,,,,,
0.029222222,0.001869551,258.5829825,,,,,,,
0.029277778,0.001878135,259.0861421,,,,,,,
0.029361111,0.001887218,259.5894399,,,,,,,
0.029416667,0.001894305,260.0922276,,,,,,,
0.029472222,0.001904485,260.5958286,,,,,,,
0.029527778,0.001913169,260.9988575,,,,,,,
0.029611111,0.001922151,261.502164,,,,,,,
0.029666667,0.001932432,262.0058195,,,,,,,
0.029722222,0.001941015,262.5090398,,,,,,,
0.029777778,0.001950097,263.0124,,,,,,,
0.029833333,0.00195908,263.515743,,,,,,,
0.029916667,0.001968162,263.9189243,,,,,,,
0.029972222,0.001977144,264.4222845,,,,,,,
0.030027778,0.001986226,264.9256801,,,,,,,
0.030083333,0.001995208,265.3288586,,,,,,,
0.030166667,0.002006286,265.9330028,,,,,,,
0.030222222,0.002016066,266.4366128,,,,,,,
0.030277778,0.002025148,266.8398434,,,,,,,
0.030333333,0.002034928,267.3434716,,,,,,,
0.030388889,0.002045107,267.8472166,,,,,,,
0.030472222,0.002054987,268.2506857,,,,,,,
0.030527778,0.002063969,268.754128,,,,,,,
0.030583333,0.002073848,269.2578212,,,,,,,
0.030638889,0.002084825,269.6616117,,,,,,,
0.030722222,0.002095802,270.2658306,,,,,,,
0.030777778,0.002106081,270.6694518,,,,,,,
0.030833333,0.002117057,271.1734826,,,,,,,
0.030888889,0.002125739,271.576688,,,,,,,
0.030944444,0.002136716,272.0807385,,,,,,,
0.031027778,0.002146894,272.4843675,,,,,,,
0.031083333,0.00215787,273.0886545,,,,,,,
0.031138889,0.002168946,273.3923306,,,,,,,
0.031194444,0.002178725,273.8960946,,,,,,,
0.031277778,0.002190898,274.4005255,,,,,,,
0.031333333,0.002200677,274.80409,,,,,,,
0.031388889,0.002212551,275.3084605,,,,,,,
0.031444444,0.002223526,275.7123726,,,,,,,
0.0315,0.002235699,276.2168479,,,,,,,
0.031583333,0.002246674,276.6207792,,,,,,,
0.031638889,0.00225765,277.1249453,,,,,,,
0.031694444,0.002268724,277.528923,,,,,,,
0.03175,0.0022797,277.9328818,,,,,,,
0.031833333,0.00229267,278.4376343,,,,,,,
0.031888889,0.002303645,278.8416127,,,,,,,
0.031944444,0.002315417,279.3460545,,,,,,,
0.032,0.002327589,279.7503867,,,,,,,
0.032055556,0.002339362,280.154617,,,,,,,
0.032138889,0.002350336,280.5586327,,,,,,,
0.032194444,0.002363305,281.0634544,,,,,,,
0.03225,0.002374379,281.4675178,,,,,,,
0.032305556,0.002388046,281.8723211,,,,,,,
0.032388889,0.002401015,282.3771786,,,,,,,
0.032444444,0.002414383,282.7819203,,,,,,,
0.0325,0.002426155,283.1862208,,,,,,,
0.032555556,0.00244032,283.5912096,,,,,,,
0.032611111,0.002452091,283.9955298,,,,,,,
0.032694444,0.002466256,284.4005404,,,,,,,
0.03275,0.002478027,284.9051286,,,,,,,
0.032805556,0.002490995,285.3098209,,,,,,,
0.032861111,0.002505159,285.7148655,,,,,,,
0.032916667,0.002518825,286.1197788,,,,,,,
0.033,0.002532989,286.524846,,,,,,,
0.033055556,0.002546754,286.92981,,,,,,,
0.033111111,0.002560918,287.3348997,,,,,,,
0.033166667,0.002574683,287.739886,,,,,,,
0.03325,0.002588746,288.1449695,,,,,,,
0.033305556,0.002603707,288.5503234,,,,,,,
0.033361111,0.00261787,288.9554587,,,,,,,
0.033416667,0.002631534,289.360461,,,,,,,
0.033472222,0.002646495,289.665585,,,,,,,
0.033555556,0.002662552,290.0713027,,,,,,,
0.033611111,0.002677512,290.4767147,,,,,,,
0.033666667,0.002692472,290.8821386,,,,,,,
0.033722222,0.002706534,291.1870421,,,,,,,
0.033805556,0.002722291,291.5927208,,,,,,,
0.033861111,0.002738347,291.9984995,,,,,,,
0.033916667,0.002753306,292.3036947,,,,,,,
0.033972222,0.002769362,292.7094971,,,,,,,
0.034055556,0.002786315,293.1155755,,,,,,,
0.034111111,0.00280237,293.521404,,,,,,,
0.034166667,0.002819222,293.8271976,,,,,,,
0.034222222,0.00283418,294.1324441,,,,,,,
0.034277778,0.002851032,294.5385429,,,,,,,
0.034361111,0.002867186,294.8441622,,,,,,,
0.034416667,0.002884037,295.2502861,,,,,,,
0.034472222,0.002900888,295.556133,,,,,,,
0.034527778,0.002917739,295.86199,,,,,,,
0.034583333,0.00293469,296.2681806,,,,,,,
0.034666667,0.002953933,296.5747693,,,,,,,
0.034722222,0.002970783,296.8806592,,,,,,,
0.034777778,0.002988829,297.2872141,,,,,,,
0.034833333,0.003005678,297.5931263,,,,,,,
0.034916667,0.003023724,297.8994051,,,,,,,
0.034972222,0.00304147,298.2056055,,,,,,,
0.035027778,0.003059515,298.6122123,,,,,,,
0.035083333,0.003078357,298.9187638,,,,,,,
0.035138889,0.003094407,299.2244914,,,,,,,
0.035222222,0.003117137,299.5322292,,,,,,,
0.035277778,0.003136376,299.8389346,,,,,,,
0.035333333,0.003150133,300.1440059,,,,,,,
0.035388889,0.003168176,300.4503734,,,,,,,
0.035472222,0.00318901,300.8579106,,,,,,,
