time,strain,temperature,stress,type,state,form,process,medium,title,youngs,poissons
0.0,0.0,900.0,25.0,creep,Ruptured,Plate,Base,Air,AirBase_900_25_b,149000.0,0.3
0.0,0.00046,,,,,,,,,,
34703.0,0.0014,,,,,,,,,,
45086.0,0.00153,,,,,,,,,,
70837.0,0.0017,,,,,,,,,,
105543.0,0.00193,,,,,,,,,,
139673.0,0.0022,,,,,,,,,,
172979.0,0.00233,,,,,,,,,,
208599.0,0.00253,,,,,,,,,,
211762.0,0.0026,,,,,,,,,,
244161.0,0.00276,,,,,,,,,,
280161.0,0.00289,,,,,,,,,,
314487.0,0.0032,,,,,,,,,,
350487.0,0.00333,,,,,,,,,,
385560.0,0.00366,,,,,,,,,,
420403.0,0.00386,,,,,,,,,,
454190.0,0.00406,,,,,,,,,,
488123.0,0.00433,,,,,,,,,,
523747.0,0.0046,,,,,,,,,,
538147.0,0.00473,,,,,,,,,,
556966.0,0.00483,,,,,,,,,,
593176.0,0.00513,,,,,,,,,,
628828.0,0.0054,,,,,,,,,,
665247.0,0.0057,,,,,,,,,,
670209.0,0.00579,,,,,,,,,,
698639.0,0.006,,,,,,,,,,
734750.0,0.00633,,,,,,,,,,
770858.0,0.00663,,,,,,,,,,
788160.0,0.0068,,,,,,,,,,
805405.0,0.007,,,,,,,,,,
841453.0,0.00733,,,,,,,,,,
875877.0,0.00766,,,,,,,,,,
897166.0,0.00786,,,,,,,,,,
909783.0,0.008,,,,,,,,,,
944898.0,0.00833,,,,,,,,,,
979611.0,0.00873,,,,,,,,,,
998611.0,0.0089,,,,,,,,,,
1014005.0,0.0091,,,,,,,,,,
1048505.0,0.00943,,,,,,,,,,
1083589.0,0.00983,,,,,,,,,,
1089102.0,0.00993,,,,,,,,,,
1119672.0,0.0102,,,,,,,,,,
1154113.0,0.01063,,,,,,,,,,
1179929.0,0.01096,,,,,,,,,,
1190728.0,0.01106,,,,,,,,,,
1227182.0,0.01143,,,,,,,,,,
1262148.0,0.0119,,,,,,,,,,
1272268.0,0.01203,,,,,,,,,,
1297315.0,0.01223,,,,,,,,,,
1333162.0,0.01273,,,,,,,,,,
1363707.0,0.01306,,,,,,,,,,
1368521.0,0.01313,,,,,,,,,,
1404734.0,0.01353,,,,,,,,,,
1440479.0,0.014,,,,,,,,,,
1450531.0,0.0141,,,,,,,,,,
1475008.0,0.01433,,,,,,,,,,
1508277.0,0.0148,,,,,,,,,,
1530840.0,0.01513,,,,,,,,,,
1541640.0,0.0152,,,,,,,,,,
1576451.0,0.01563,,,,,,,,,,
1610292.0,0.01606,,,,,,,,,,
1618075.0,0.0162,,,,,,,,,,
1644805.0,0.01646,,,,,,,,,,
1678323.0,0.0169,,,,,,,,,,
1701896.0,0.01723,,,,,,,,,,
1712596.0,0.0174,,,,,,,,,,
1745881.0,0.0178,,,,,,,,,,
1782276.0,0.0182,,,,,,,,,,
1785104.0,0.01826,,,,,,,,,,
1817632.0,0.01866,,,,,,,,,,
1853374.0,0.01916,,,,,,,,,,
1865073.0,0.0193,,,,,,,,,,
1889322.0,0.0196,,,,,,,,,,
1924748.0,0.0202,,,,,,,,,,
1932691.0,0.02033,,,,,,,,,,
1960329.0,0.02063,,,,,,,,,,
1996795.0,0.02106,,,,,,,,,,
2017431.0,0.0214,,,,,,,,,,
2031203.0,0.02153,,,,,,,,,,
2065432.0,0.022,,,,,,,,,,
2100325.0,0.0224,,,,,,,,,,
2102625.0,0.02246,,,,,,,,,,
2135560.0,0.02286,,,,,,,,,,
2170851.0,0.02326,,,,,,,,,,
2188000.0,0.02353,,,,,,,,,,
2205321.0,0.02369,,,,,,,,,,
2239102.0,0.02419,,,,,,,,,,
2271203.0,0.02456,,,,,,,,,,
2274803.0,0.0246,,,,,,,,,,
2309053.0,0.02503,,,,,,,,,,
2343804.0,0.02546,,,,,,,,,,
2350492.0,0.0256,,,,,,,,,,
2378649.0,0.02593,,,,,,,,,,
2412737.0,0.02636,,,,,,,,,,
2434250.0,0.02666,,,,,,,,,,
2447771.0,0.02683,,,,,,,,,,
2481143.0,0.02726,,,,,,,,,,
2514946.0,0.0277,,,,,,,,,,
2549096.0,0.02813,,,,,,,,,,
2583942.0,0.0286,,,,,,,,,,
2597941.0,0.02876,,,,,,,,,,
2620730.0,0.02903,,,,,,,,,,
2653978.0,0.02946,,,,,,,,,,
2680800.0,0.0298,,,,,,,,,,
2688000.0,0.02986,,,,,,,,,,
2724107.0,0.03033,,,,,,,,,,
2759730.0,0.03076,,,,,,,,,,
2763559.0,0.03086,,,,,,,,,,
2794167.0,0.03126,,,,,,,,,,
2830656.0,0.0317,,,,,,,,,,
2844663.0,0.03193,,,,,,,,,,
2863915.0,0.03213,,,,,,,,,,
2897833.0,0.03256,,,,,,,,,,
2928443.0,0.03296,,,,,,,,,,
2932424.0,0.03303,,,,,,,,,,
2966160.0,0.03343,,,,,,,,,,
3000500.0,0.03393,,,,,,,,,,
3009236.0,0.034,,,,,,,,,,
3034792.0,0.03433,,,,,,,,,,
3071237.0,0.0348,,,,,,,,,,
3090547.0,0.03503,,,,,,,,,,
3106327.0,0.03526,,,,,,,,,,
3142658.0,0.0357,,,,,,,,,,
3165803.0,0.03606,,,,,,,,,,
3176121.0,0.03616,,,,,,,,,,
3210093.0,0.0366,,,,,,,,,,
3246202.0,0.03703,,,,,,,,,,
3250349.0,0.03713,,,,,,,,,,
3282703.0,0.0375,,,,,,,,,,
3317796.0,0.03793,,,,,,,,,,
3333543.0,0.03816,,,,,,,,,,
3352035.0,0.03839,,,,,,,,,,
3385257.0,0.03883,,,,,,,,,,
3416050.0,0.03923,,,,,,,,,,
3419650.0,0.03926,,,,,,,,,,
3454373.0,0.03966,,,,,,,,,,
3488092.0,0.04006,,,,,,,,,,
3503686.0,0.0403,,,,,,,,,,
3523198.0,0.04056,,,,,,,,,,
3556847.0,0.041,,,,,,,,,,
3584615.0,0.04136,,,,,,,,,,
3591814.0,0.04143,,,,,,,,,,
3627563.0,0.04189,,,,,,,,,,
3662924.0,0.04233,,,,,,,,,,
3669185.0,0.04243,,,,,,,,,,
3697141.0,0.04276,,,,,,,,,,
3733379.0,0.04326,,,,,,,,,,
3752852.0,0.04346,,,,,,,,,,
3769233.0,0.04366,,,,,,,,,,
3803692.0,0.04406,,,,,,,,,,
3836506.0,0.0445,,,,,,,,,,
3840106.0,0.04453,,,,,,,,,,
3873380.0,0.04496,,,,,,,,,,
3909743.0,0.04543,,,,,,,,,,
3915490.0,0.04553,,,,,,,,,,
3945379.0,0.04593,,,,,,,,,,
3979114.0,0.04633,,,,,,,,,,
3998183.0,0.0466,,,,,,,,,,
4015468.0,0.04676,,,,,,,,,,
4050728.0,0.04723,,,,,,,,,,
4081415.0,0.04766,,,,,,,,,,
4085014.0,0.04766,,,,,,,,,,
4119837.0,0.0481,,,,,,,,,,
4155072.0,0.0485,,,,,,,,,,
